mean_global_dens	mean_local_dens	std_local_dens	mean_local_flowx	std_local_flowx	mean_local_vx	std_local_vx
0.5	0.602	0.277	0.622	0.257	1.0	0.0
0.75	0.783	0.301	0.783	0.301	1.0	0.0
1.0	0.971	0.254	0.971	0.254	1.0	0.0
1.25	1.271	0.261	1.272	0.261	1.0	0.001
1.5	1.546	0.299	1.546	0.299	1.0	0.003
1.75	1.743	0.265	1.744	0.265	1.001	0.001
2.0	1.996	0.219	1.993	0.219	0.999	0.003
2.25	2.302	0.193	2.301	0.193	1.0	0.002
2.5	2.495	0.249	2.491	0.249	0.998	0.002
2.75	2.743	0.312	2.743	0.311	1.0	0.003
3.0	2.986	0.336	2.983	0.335	0.999	0.002
3.25	3.296	0.337	3.293	0.335	0.999	0.004
3.5	3.533	0.26	3.531	0.26	0.999	0.002
3.75	3.712	0.228	3.714	0.228	1.0	0.002
4.0	3.975	0.25	3.972	0.25	0.999	0.002
4.25	4.219	0.281	4.217	0.282	1.0	0.004
4.5	4.488	0.349	4.418	0.351	0.984	0.008
4.75	4.817	0.33	4.623	0.318	0.96	0.013
5.0	5.019	0.337	4.575	0.304	0.912	0.011
5.25	5.235	0.352	4.607	0.302	0.88	0.014
5.5	5.529	0.295	4.705	0.253	0.851	0.01
5.75	5.774	0.27	4.78	0.232	0.828	0.011
6.0	5.99	0.31	4.748	0.241	0.793	0.01
6.25	6.278	0.352	4.859	0.287	0.774	0.012
6.5	6.47	0.339	4.901	0.257	0.758	0.01
6.75	6.737	0.379	5.014	0.296	0.744	0.012
7.0	7.08	0.314	5.09	0.257	0.719	0.011
7.25	7.288	0.4	5.196	0.296	0.713	0.01
7.5	7.581	0.398	5.263	0.297	0.694	0.01
7.75	7.789	0.377	5.336	0.26	0.685	0.01
8.0	8.0	0.371	5.419	0.264	0.677	0.011
8.25	8.251	0.351	5.527	0.252	0.67	0.007
8.5	8.489	0.327	5.612	0.236	0.661	0.011
8.75	8.703	0.312	5.704	0.214	0.655	0.007
9.0	9.006	0.373	5.785	0.251	0.642	0.009
