mean_global_dens	mean_local_dens	std_local_dens	mean_local_flowx	std_local_flowx	mean_local_vx	std_local_vx
0.5	0.57	0.271	0.589	0.253	1.0	0.0
0.75	0.784	0.308	0.784	0.308	1.0	0.0
1.0	1.048	0.255	1.048	0.255	1.0	0.0
1.25	1.271	0.241	1.272	0.241	1.0	0.001
1.5	1.509	0.286	1.506	0.284	0.998	0.004
1.75	1.799	0.282	1.799	0.282	1.0	0.002
2.0	2.04	0.234	2.04	0.235	1.0	0.001
2.25	2.267	0.214	2.265	0.214	0.999	0.002
2.5	2.478	0.247	2.478	0.247	1.0	0.002
2.75	2.689	0.323	2.692	0.323	1.001	0.004
3.0	2.997	0.313	2.998	0.313	1.0	0.002
3.25	3.253	0.385	3.254	0.385	1.0	0.001
3.5	3.552	0.289	3.554	0.289	1.001	0.002
3.75	3.771	0.215	3.772	0.215	1.0	0.001
4.0	4.019	0.218	4.017	0.217	1.0	0.002
4.25	4.245	0.291	4.231	0.292	0.997	0.007
4.5	4.532	0.328	3.932	0.326	0.868	0.037
4.75	4.838	0.354	3.406	0.262	0.704	0.015
5.0	5.061	0.344	3.014	0.219	0.596	0.017
5.25	5.26	0.35	2.811	0.193	0.535	0.012
5.5	5.517	0.368	2.698	0.196	0.489	0.014
5.75	5.788	0.33	2.57	0.156	0.444	0.01
6.0	6.008	0.334	2.518	0.15	0.419	0.01
6.25	6.305	0.339	2.479	0.142	0.393	0.006
6.5	6.553	0.324	2.471	0.133	0.377	0.01
6.75	6.753	0.352	2.441	0.148	0.362	0.012
7.0	7.024	0.376	2.374	0.144	0.338	0.007
7.25	7.309	0.346	2.369	0.126	0.324	0.007
7.5	7.567	0.402	2.391	0.153	0.316	0.009
7.75	7.785	0.34	2.359	0.116	0.303	0.007
8.0	8.01	0.333	2.4	0.12	0.3	0.008
8.25	8.253	0.369	2.4	0.125	0.291	0.008
8.5	8.515	0.339	2.421	0.123	0.284	0.008
8.75	8.753	0.385	2.414	0.129	0.276	0.008
9.0	8.941	0.359	2.456	0.121	0.275	0.007
