mean_global_dens	mean_local_dens	std_local_dens	mean_local_flowx	std_local_flowx	mean_local_vx	std_local_vx
0.5	0.558	0.281	0.59	0.253	1.0	0.0
0.75	0.739	0.282	0.739	0.282	1.0	0.0
1.0	0.994	0.261	0.994	0.261	1.0	0.0
1.25	1.363	0.247	1.363	0.247	1.0	0.001
1.5	1.562	0.286	1.56	0.286	0.999	0.003
1.75	1.782	0.274	1.782	0.275	1.0	0.002
2.0	2.054	0.221	2.055	0.221	1.001	0.002
2.25	2.239	0.209	2.238	0.209	1.0	0.003
2.5	2.546	0.235	2.543	0.235	0.999	0.001
2.75	2.754	0.305	2.753	0.305	1.0	0.002
3.0	3.007	0.349	3.005	0.348	0.999	0.002
3.25	3.318	0.334	3.321	0.334	1.001	0.003
3.5	3.487	0.302	3.485	0.302	0.999	0.001
3.75	3.762	0.229	3.758	0.229	0.999	0.002
4.0	4.026	0.246	4.024	0.245	1.0	0.002
4.25	4.242	0.316	4.243	0.317	1.0	0.003
4.5	4.469	0.295	4.453	0.293	0.997	0.004
4.75	4.782	0.369	4.582	0.353	0.958	0.012
5.0	5.04	0.367	4.689	0.361	0.93	0.02
5.25	5.325	0.379	4.584	0.377	0.861	0.032
5.5	5.531	0.308	4.121	0.263	0.745	0.025
5.75	5.782	0.295	3.59	0.207	0.621	0.021
6.0	6.023	0.269	3.054	0.202	0.507	0.025
6.25	6.25	0.313	2.498	0.195	0.4	0.026
6.5	6.547	0.344	2.664	0.181	0.407	0.018
6.75	6.794	0.38	2.236	0.237	0.329	0.03
7.0	7.02	0.41	2.249	0.25	0.32	0.031
7.25	7.191	0.353	2.689	0.171	0.374	0.016
7.5	7.492	0.374	2.739	0.182	0.366	0.016
7.75	7.641	0.382	2.852	0.164	0.373	0.011
8.0	7.938	0.38	3.104	0.171	0.391	0.014
8.25	8.251	0.365	3.507	0.19	0.425	0.014
8.5	8.445	0.328	3.871	0.173	0.458	0.01
8.75	8.698	0.325	4.367	0.193	0.502	0.011
9.0	8.922	0.33	4.871	0.223	0.546	0.016
