mean_global_dens	mean_local_dens	std_local_dens	mean_local_flowx	std_local_flowx	mean_local_vx	std_local_vx
0.5	0.531	0.304	0.562	0.283	1.0	0.0
0.75	0.728	0.295	0.758	0.262	1.0	0.0
1.0	1.015	0.253	1.015	0.253	1.0	0.0
1.25	1.307	0.276	1.307	0.276	1.0	0.001
1.5	1.528	0.293	1.529	0.294	1.001	0.002
1.75	1.836	0.275	1.836	0.275	1.0	0.003
2.0	2.072	0.208	2.069	0.208	0.999	0.002
2.25	2.281	0.197	2.286	0.197	1.002	0.002
2.5	2.478	0.258	2.48	0.258	1.001	0.005
2.75	2.768	0.285	2.767	0.284	0.999	0.001
3.0	2.881	0.331	2.881	0.331	1.0	0.004
3.25	3.266	0.328	3.265	0.328	1.0	0.002
3.5	3.561	0.255	3.561	0.255	1.0	0.001
3.75	3.719	0.252	3.719	0.256	1.0	0.005
4.0	3.996	0.269	3.995	0.269	1.0	0.003
4.25	4.282	0.291	4.281	0.292	1.0	0.001
4.5	4.44	0.366	4.25	0.365	0.957	0.022
4.75	4.933	0.351	3.47	0.284	0.703	0.03
5.0	5.198	0.378	2.678	0.277	0.515	0.038
5.25	5.411	0.361	2.07	0.224	0.382	0.028
5.5	5.54	0.33	1.59	0.169	0.287	0.022
5.75	5.833	0.294	1.278	0.085	0.219	0.011
6.0	6.046	0.31	1.062	0.059	0.176	0.005
6.25	6.271	0.291	0.91	0.063	0.145	0.009
6.5	6.511	0.326	0.823	0.089	0.126	0.012
6.75	6.815	0.363	0.763	0.068	0.112	0.009
7.0	6.899	0.404	0.729	0.098	0.106	0.013
7.25	7.168	0.359	0.739	0.101	0.103	0.013
7.5	7.437	0.363	0.758	0.094	0.102	0.011
7.75	7.689	0.342	0.775	0.107	0.101	0.013
8.0	7.951	0.363	0.718	0.223	0.09	0.027
8.25	8.225	0.399	0.623	0.477	0.077	0.057
8.5	8.411	0.31	0.563	0.355	0.067	0.042
8.75	8.779	0.441	0.367	0.455	0.041	0.05
9.0	8.844	0.356	0.034	0.233	0.003	0.027
