ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3689
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
1 17.3989 3.20343 0.619198 -0.00756719 0.46 
2 8.76814 12.3063 0.794621 0.0120458 0.46 
3 23.2563 14.6714 0.780124 0.0119774 0.46 
4 21.4723 8.72287 0.787307 0.00234372 0.46 
5 1.21637 0.55413 0.195084 0.0271963 0.46 
6 9.18779 15.3133 0.790987 0.0135598 0.46 
7 20.9569 1.35255 0.37171 0.0175795 0.46 
8 14.0867 12.4263 0.786045 -0.0151232 0.46 
9 19.3497 11.7837 0.788849 -0.0158 0.46 
10 13.7002 9.48004 0.782598 2.87756e-05 0.46 
11 17.7625 17.09 0.742477 -0.0124682 0.46 
12 23.0491 16.3163 0.763687 0.00982905 0.46 
13 10.837 16.9692 0.766239 0.0287149 0.46 
14 2.80033 5.24359 0.734593 0.0329693 0.46 
15 13.7839 16.4078 0.76066 -0.00422132 0.46 
16 23.9852 14.3673 0.774457 0.00626641 0.46 
17 2.85532 9.76465 0.793646 0.0355028 0.46 
18 6.1701 5.52552 0.725782 0.0156716 0.46 
19 27.7968 3.21177 0.618573 0.00577725 0.46 
20 9.76699 19.9562 0.511261 -0.0142446 0.46 
21 20.8129 11.0411 0.788029 -0.00998366 0.46 
22 14.8458 21.458 0.232888 0.0291799 0.46 
23 21.4717 2.01473 0.500181 0.00382086 0.46 
24 25.4407 11.2699 0.791906 0.00474066 0.46 
25 19.896 20.3949 0.416731 0.00794072 0.46 
26 24.2808 20.2193 0.439535 0.0293924 0.46 
27 13.6738 17.178 0.783335 -0.0217727 0.46 
28 9.29645 0.532245 0.159947 -0.0108902 0.46 
29 18.8723 14.5994 0.769615 -0.0140662 0.46 
30 23.1145 21.8352 0.0808493 0.0150882 0.46 
31 0.651599 6.90099 0.766088 0.0193785 0.46 
32 9.53699 13.292 0.792546 0.0124802 0.46 
33 1.43613 18.3576 0.681683 0.0205991 0.46 
34 7.14432 12.2709 0.795309 0.0253657 0.46 
35 26.6457 3.7844 0.709885 -0.00725517 0.46 
36 7.15217 17.7874 0.731471 -0.00258062 0.46 
37 10.8177 11.2229 0.789095 -0.000576095 0.46 
38 16.5675 12.0238 0.789008 -0.0109487 0.46 
39 6.89045 18.647 0.666106 -0.0165102 0.46 
40 27.9082 16.0823 0.765755 0.0358997 0.46 
41 24.6091 6.32665 0.763249 -0.000554404 0.46 
42 17.6551 0.569996 0.177061 -0.0448059 0.46 
43 19.4985 5.23454 0.729569 -0.0225576 0.46 
44 24.7735 19.0111 0.667736 0.012344 0.46 
45 26.9405 14.8991 0.787148 0.0129499 0.46 
46 6.4797 11.3331 0.793329 0.0287604 0.46 
47 4.97347 19.2447 0.576723 0.0235053 0.46 
48 22.3741 12.7191 0.78879 -0.00296505 0.46 
49 22.842 9.94694 0.794311 -0.000728204 0.46 
50 9.34777 5.62812 0.744543 0.023633 0.46 
