ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3684
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
1 13.114 2.95725 0.514664 0.04835 0.46 
2 1.84392 12.0498 0.539505 0.0214227 0.46 
3 16.8267 14.9296 0.525837 -0.0382391 0.46 
4 14.6388 8.77626 0.549266 -0.0113932 0.46 
5 2.1109 0.624582 0.331955 0.0639544 0.46 
6 2.93492 15.2323 0.524216 0.00539773 0.46 
7 19.5066 1.38571 0.440105 0.0352633 0.46 
8 7.07648 12.8302 0.535524 0.014631 0.46 
9 12.4205 11.7407 0.54197 -0.00537745 0.46 
10 6.58929 9.34847 0.545421 0.00814556 0.46 
11 12.9233 17.0662 0.526731 0.0161805 0.46 
12 16.7081 16.217 0.519702 -0.0522145 0.46 
13 5.47803 17.2154 0.502674 -0.0160238 0.46 
14 25.3224 5.76923 0.524482 0.0269592 0.46 
15 7.63384 16.0875 0.514682 0.01398 0.46 
16 17.2401 14.7399 0.533119 -0.0395506 0.46 
17 23.5575 9.982 0.55435 0.0187069 0.46 
18 0.380541 4.97731 0.526786 0.0196166 0.46 
19 24.1551 3.79912 0.531637 0.00570156 0.46 
20 8.83693 20.1987 0.415868 0.0257634 0.46 
21 13.7536 11.0191 0.542904 -0.00832996 0.46 
22 16.461 21.4049 0.230267 -0.0416763 0.46 
23 19.8445 2.52204 0.473645 0.0410017 0.46 
24 18.2538 11.495 0.553999 -0.00976974 0.46 
25 20.7141 19.7538 0.361928 -0.0683182 0.46 
26 24.8971 19.8689 0.333677 0.0526903 0.46 
27 8.40579 16.4127 0.513212 -0.000195646 0.46 
28 10.598 0.536641 0.365248 -0.0812544 0.46 
29 12.4773 14.4311 0.537915 -0.000815937 0.46 
30 25.8367 21.8179 0.210172 -0.00458537 0.46 
31 21.8882 7.01086 0.547607 0.0133967 0.46 
32 2.76548 13.0391 0.563491 0.0335373 0.46 
33 25.924 18.1278 0.477312 0.0846237 0.46 
34 0.266393 12.0712 0.549911 0.028622 0.46 
35 23.2823 4.48826 0.531215 -0.00499537 0.46 
36 2.96617 17.9628 0.490962 -0.0380298 0.46 
37 3.82658 10.8697 0.543308 0.0163568 0.46 
38 9.42681 11.6895 0.53883 -0.00341321 0.46 
39 4.68828 18.7082 0.455458 -0.0041431 0.46 
40 21.2979 16.3961 0.545565 -0.00222617 0.46 
41 17.8664 6.24203 0.548562 0.0240533 0.46 
42 17.4044 0.545945 0.262327 -0.0122774 0.46 
43 13.7569 4.91853 0.554197 0.0046789 0.46 
44 23.2169 19.1468 0.408587 0.0055361 0.46 
45 20.2153 14.8958 0.553187 -0.0110122 0.46 
46 27.6037 11.1378 0.555031 0.0272278 0.46 
47 2.57957 19.2482 0.492897 -0.0725504 0.46 
48 15.4399 12.5789 0.540008 -0.0125031 0.46 
49 15.9621 9.58436 0.545152 -0.00974929 0.46 
50 3.11516 5.26953 0.513243 0.00498739 0.46 
