0.Global dens	1.fraction nodes in giant	2.average shortest path length	3.diameter	4.mean degree	5.std degree	6.triangles per node	7.std triangles per node
4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.25	0.002	2.357	5.071	1.835	0.235	0.0	0.0
4.5	0.015	12.231	34.429	2.048	0.267	0.0	0.0
4.75	0.075	23.199	63.429	2.287	0.47	0.001	0.002
5.0	0.254	36.241	101.429	2.519	0.581	0.009	0.005
5.25	0.927	42.977	110.5	2.84	0.648	0.029	0.006
5.5	0.997	35.795	98.214	3.559	0.556	0.241	0.048
5.75	0.999	34.765	96.857	4.097	0.645	0.965	0.031
6.0	1.0	34.585	96.929	4.481	0.716	1.801	0.084
6.25	1.0	34.777	97.0	4.7	0.687	2.298	0.109
6.5	1.0	35.004	97.571	4.897	0.666	2.808	0.108
6.75	1.0	35.285	98.714	5.065	0.653	3.284	0.16
7.0	1.0	35.589	99.643	5.207	0.643	3.685	0.141
7.25	1.0	35.907	99.786	5.315	0.577	4.001	0.083
7.5	1.0	36.319	100.143	5.39	0.556	4.213	0.097
7.75	1.0	36.67	101.214	5.484	0.524	4.494	0.089
8.25	1.0	37.363	101.357	5.619	0.449	4.888	0.07
8.5	1.0	37.784	103.214	5.671	0.421	5.048	0.068
8.75	1.0	38.216	103.714	5.732	0.391	5.227	0.057
8.0	1.0	37.027	101.5	5.541	0.487	4.658	0.075
9.0	1.0	38.638	105.286	5.792	0.358	5.413	0.05
