0.Global dens	1.fraction nodes in giant	2.average shortest path length	3.diameter	4.mean degree	5.std degree	6.triangles per node	7.std triangles per node
4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.25	0.001	1.452	2.357	1.696	0.392	0.0	0.0
4.5	0.01	9.209	25.214	2.017	0.226	0.0	0.0
4.75	0.05	20.31	54.286	2.324	0.522	0.0	0.0
5.0	0.279	39.558	108.071	2.585	0.632	0.009	0.007
5.25	0.957	37.509	100.786	3.184	0.69	0.053	0.023
5.5	0.999	33.871	95.214	4.069	0.703	0.928	0.061
5.75	1.0	33.536	94.786	4.659	0.795	2.201	0.107
6.0	1.0	33.633	94.357	4.89	0.772	2.835	0.085
6.25	1.0	33.801	93.714	5.113	0.742	3.449	0.108
6.5	1.0	34.296	95.714	5.196	0.698	3.665	0.113
6.75	1.0	34.669	96.357	5.327	0.671	4.057	0.074
7.0	1.0	34.941	96.214	5.446	0.602	4.399	0.113
7.25	1.0	35.517	98.714	5.482	0.593	4.504	0.1
7.5	1.0	35.929	99.571	5.558	0.541	4.725	0.069
7.75	1.0	36.273	99.929	5.609	0.511	4.872	0.085
8.0	1.0	36.611	99.929	5.662	0.468	5.026	0.066
8.25	1.0	37.106	101.071	5.698	0.444	5.129	0.052
8.5	1.0	37.626	102.429	5.752	0.399	5.292	0.048
8.75	1.0	37.959	103.286	5.79	0.377	5.404	0.038
9.0	1.0	38.568	104.786	5.829	0.343	5.522	0.032
