0.density	2.fraction nodes in giant	3.sizes componentes	4.cantidad nodos x size	5.average shortest path length	6.diameter	7.mean degree	8.std degree	9.triangles per node
4.0	0.0	[1]	[2461]	0.0	0	0.0	0.0	0.0
4.25	0.002	[1, 2, 3, 4]	[2600, 3, 1, 1]	1.5	2	2.5	0.866	0.0
4.5	0.008	[1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 22]	[2489, 36, 16, 3, 2, 2, 1, 1, 3, 1, 1, 2]	7.446	20	2.03	0.308	0.0
4.75	0.07	[1, 2, 3, 4, 5, 6, 33, 8, 9, 7, 203, 11, 109, 86]	[2008, 45, 27, 22, 11, 7, 1, 3, 4, 6, 1, 2, 1, 1]	24.195	61	2.317	0.509	0.0
5.0	0.286	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 878, 14, 16, 756, 26, 30, 31]	[858, 51, 15, 10, 8, 6, 7, 4, 5, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1]	39.07	108	2.514	0.553	0.007
5.25	0.942	[1, 2, 3, 3039]	[129, 18, 7, 1]	41.345	102	2.905	0.612	0.031
5.5	0.997	[3368, 1]	[1, 11]	35.593	100	3.551	0.559	0.294
5.75	0.999	[1, 3530]	[4, 1]	35.144	98	3.988	0.608	0.824
6.0	1.0	[3689]	[1]	34.753	96	4.368	0.662	1.582
6.25	1.0	[3841]	[1]	34.852	98	4.623	0.66	2.132
6.5	1.0	[3994]	[1]	35.131	96	4.792	0.607	2.555
6.75	1.0	[4144]	[1]	35.198	99	4.982	0.628	3.07
7.0	1.0	[4297]	[1]	35.569	98	5.104	0.584	3.395
7.25	1.0	[4450]	[1]	35.834	99	5.254	0.537	3.822
7.5	1.0	[4600]	[1]	36.137	99	5.326	0.521	4.031
7.75	1.0	[4751]	[1]	36.498	100	5.397	0.527	4.221
8.0	1.0	[4899]	[1]	36.902	101	5.489	0.479	4.493
9.0	1.0	[5520]	[1]	38.415	103	5.765	0.352	5.312
