0.density	2.fraction nodes in giant	3.sizes componentes	4.cantidad nodos x size	5.average shortest path length	6.diameter	7.mean degree	8.std degree	9.triangles per node
4.0	0.0	[1]	[2464]	0.0	0	0.0	0.0	0.0
4.25	0.001	[1, 2]	[2616, 1]	1.0	1	1.0	0.0	0.0
4.5	0.001	[1, 2, 3, 4]	[2685, 27, 8, 2]	1.667	3	1.75	0.25	0.0
4.75	0.003	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[2711, 9, 9, 6, 9, 5, 5, 1, 2, 1]	3.4	8	2.067	0.396	0.0
5.0	0.044	[1, 2, 3, 4, 133, 134, 6, 8, 9, 10, 5, 12, 7, 11, 15, 16, 17, 20, 22, 27, 34, 41, 49, 104]	[2244, 18, 4, 3, 1, 1, 3, 3, 4, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]	13.874	41	2.761	0.783	0.0
5.25	0.945	[1, 2, 3, 5, 13, 3057]	[135, 4, 1, 1, 2, 1]	36.019	92	3.225	0.881	0.288
5.5	0.999	[1, 3386]	[2, 1]	31.585	85	5.491	0.614	4.662
5.75	1.0	[1, 3541]	[1, 1]	31.903	85	5.661	0.438	5.139
6.0	1.0	[3696]	[1]	32.481	87	5.717	0.389	5.287
6.25	1.0	[3849]	[1]	32.894	89	5.766	0.343	5.433
6.5	1.0	[4004]	[1]	33.481	92	5.804	0.319	5.527
6.75	1.0	[4158]	[1]	33.751	90	5.834	0.304	5.597
7.0	1.0	[4312]	[1]	34.288	91	5.867	0.297	5.681
7.25	1.0	[4466]	[1]	34.711	93	5.903	0.302	5.766
7.5	1.0	[4620]	[1]	34.865	93	5.93	0.305	5.816
7.75	1.0	[4774]	[1]	35.363	93	5.935	0.304	5.827
8.0	1.0	[4928]	[1]	35.778	95	5.942	0.308	5.831
9.0	1.0	[5544]	[1]	38.399	102	5.974	0.322	5.975
