0.density	2.fraction nodes in giant	3.sizes componentes	4.cantidad nodos x size	5.average shortest path length	6.diameter	7.mean degree	8.std degree	9.triangles per node
4.0	0.0	[1]	[2464]	0.0	0	0.0	0.0	0.0
4.25	0.001	[1, 2, 3]	[2613, 1, 1]	1.333	2	1.667	0.471	0.0
4.5	0.005	[1, 2, 3, 4, 5, 6, 7, 12, 14]	[2540, 33, 28, 1, 3, 5, 1, 1, 1]	5.0	13	1.929	0.175	0.0
4.75	0.047	[1, 2, 3, 4, 5, 6, 7, 8, 137, 9, 11, 79, 48, 21, 90]	[2159, 29, 11, 13, 8, 6, 7, 4, 1, 3, 4, 1, 1, 2, 1]	16.875	49	2.297	0.518	0.0
5.0	0.396	[1, 2, 3, 4, 1220, 5, 7, 6, 9, 10, 11, 12, 44, 13, 47, 8, 14, 340, 23, 26, 27]	[980, 43, 9, 15, 1, 3, 5, 3, 1, 2, 2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1]	53.499	139	2.584	0.634	0.005
5.25	0.966	[3, 1, 2, 3123]	[3, 92, 5, 1]	37.312	100	3.063	0.641	0.066
5.5	0.997	[1, 3378]	[10, 1]	34.649	96	3.816	0.578	0.524
5.75	0.999	[3537, 1]	[1, 5]	34.069	95	4.306	0.685	1.441
6.0	1.0	[1, 3695]	[1, 1]	34.183	95	4.627	0.684	2.176
6.25	1.0	[3850]	[1]	34.216	97	4.85	0.691	2.709
6.5	1.0	[4004]	[1]	34.544	95	5.001	0.644	3.109
6.75	1.0	[4158]	[1]	34.894	96	5.175	0.632	3.614
7.0	1.0	[4312]	[1]	35.241	97	5.205	0.61	3.685
7.25	1.0	[4466]	[1]	35.558	98	5.361	0.537	4.135
7.5	1.0	[4620]	[1]	35.94	98	5.452	0.544	4.402
7.75	1.0	[4774]	[1]	36.334	99	5.521	0.48	4.599
8.0	1.0	[4928]	[1]	36.781	101	5.573	0.457	4.739
9.0	1.0	[5544]	[1]	38.267	104	5.802	0.354	5.423
